Learning Rate: 0.001
Batch Size: 64
Number of Epochs: 500
Model Name: my_cool_model
Data Path: /home/mkhokhlo/projects/kotelnikov/data_lstm_august24_PDET_left_right.csv
Feature_names: ['ampl', 'BandwidthesHz', 'Bottom', 'flash_periods', 'flash_seconds', 'frac_band', 'freq', 'left', 'phase', 'Psi0', 'right', 'timeSignal', 'top', 'time_sincelast']
Starting to train for the first pair 0_1, results are saved /home/mkhokhlo/projects/kotelnikov/scripts/scripts/results/0_1
verification Left,  ampl
verification Left,  BandwidthesHz
(21600, 2)
(21600,)
Epoch 249, Loss: 0.3829, Accuracy: 0.8100
Epoch 250, Loss: 0.3868, Accuracy: 0.8093
Epoch 251, Loss: 0.3869, Accuracy: 0.8110
Epoch 252, Loss: 0.3864, Accuracy: 0.8108
Epoch 253, Loss: 0.3866, Accuracy: 0.8113
Epoch 254, Loss: 0.3909, Accuracy: 0.8102
Epoch 255, Loss: 0.3869, Accuracy: 0.8114
Epoch 256, Loss: 0.3873, Accuracy: 0.8095
Epoch 257, Loss: 0.3868, Accuracy: 0.8101
Epoch 258, Loss: 0.3870, Accuracy: 0.8104
Epoch 259, Loss: 0.3865, Accuracy: 0.8091
Epoch 260, Loss: 0.3868, Accuracy: 0.8100
Epoch 261, Loss: 0.3865, Accuracy: 0.8098
Epoch 262, Loss: 0.3863, Accuracy: 0.8114
Epoch 263, Loss: 0.3861, Accuracy: 0.8107
Epoch 264, Loss: 0.3866, Accuracy: 0.8102
Epoch 265, Loss: 0.3870, Accuracy: 0.8100
Epoch 266, Loss: 0.3866, Accuracy: 0.8097
Epoch 267, Loss: 0.3870, Accuracy: 0.8093
Epoch 268, Loss: 0.3907, Accuracy: 0.8093
Epoch 269, Loss: 0.3867, Accuracy: 0.8096
Epoch 270, Loss: 0.3834, Accuracy: 0.8104
Epoch 271, Loss: 0.3865, Accuracy: 0.8097
Epoch 272, Loss: 0.3867, Accuracy: 0.8113
Epoch 273, Loss: 0.3867, Accuracy: 0.8114
Epoch 274, Loss: 0.3867, Accuracy: 0.8097
Epoch 275, Loss: 0.3868, Accuracy: 0.8098
Epoch 276, Loss: 0.3869, Accuracy: 0.8114
Epoch 277, Loss: 0.3868, Accuracy: 0.8101
Epoch 278, Loss: 0.3866, Accuracy: 0.8120
Epoch 279, Loss: 0.3866, Accuracy: 0.8110
Epoch 280, Loss: 0.3864, Accuracy: 0.8103
Epoch 281, Loss: 0.3868, Accuracy: 0.8097
Epoch 282, Loss: 0.3868, Accuracy: 0.8102
Epoch 283, Loss: 0.3865, Accuracy: 0.8115
Epoch 284, Loss: 0.3861, Accuracy: 0.8109
